Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Hasselt,3,Hasselt 4,210...,Zuivelfabriek Juliana,9 juli 1942,Z,202334.28,511523.79,Hasselt%2003.jpg,,,,
Hasselt,4,Hasselt 1,210203,H.K. Hasselt,1942,,202573.77,511665.75,Hasselt%2004.jpg,,,,
Hasselt,5,Hasselt 3,210...,"G.K. Hasselt, Nieuwstraat",1942,,202681.52,511714.18,Hasselt%2005.jpg,gesloopt,,,
Hasselt,6,Hasselt 2,210...,R.K.K. Hasselt,1942,,202830,511522,Hasselt%2006.jpg,Sanering i.v.m. herziening publicatie systeem 1970-1975,,,
Hasselt,7,Hasselt 4,210...,Zuivelfabriek Juliana,1942,,202334.28,511523.79,Hasselt%2007.jpg,,,,
Hasselt,8,Hasselt 1,210203,H.K. Hasselt,1969,,202573.77,511665.75,Hasselt%2008.jpg,,,,
Hasselt,9,Hasselt 1,210203,H.K. Hasselt,28-Sep-10,,202573.77,511665.75,Hasselt%2009.jpg,,,,
Hassum (Dld),1,Hassum I,460...,Toren,,,202409.36,410231.04,Hassum%20%28Dld%29%2001.jpg,toren boven RD-punt,,,
Hassum (Dld),2,,460305,Molen en R.K.K. Hassum,1976,,202253.32,410255.26,Hassum%20%28Dld%29%2002.jpg,,,,
Hassum (Dld),3,,460305,Molen en R.K.K. Hassum,1980,,202253.32,410255.26,Hassum%20%28Dld%29%2003.jpg,,,,
Hassum (Dld),4,,460305,Molen en R.K.K. Hassum,1980,,202253.32,410255.26,Hassum%20%28Dld%29%2004.jpg,,,,
Hastenrath (Dld),1,Hastenrath 2,609...,R.K.K. Hastenrath,1952,,195964.59,335243.72,Hastenrath%20%28Dld%29%2001.jpg,,,,
Hatert,1,,469210,R.K.K. Hatert,1974,,185448.93,424583.39,Hatert%2001.jpg,,,,
Hatert,2,,469210,R.K.K. Hatert,1974,,185448.93,424583.39,Hatert%2002.jpg,,,,
Hatert,3,,469210,R.K.K. Hatert,1974,,185448.93,424583.39,Hatert%2003.jpg,,,,
Hatert,4,,469210,R.K.K. Hatert,1974,,185448.93,424583.39,Hatert%2004.jpg,,,,
Hatert,5,Nijmegen 41,469...,R.K.K. Hatert,1934,NW,185060.09,424455.14,Hatert%2005.jpg,gesloopt,,,
Hattem,1,Hattem 3,270207,H.K. Hattem,1970,,201390.02,498734.18,Hattem%2001.jpg,,,,
Hattem,2,Hattem 2,270...,Emaillefabriek 'Gelria',,N,201770,498000,Hattem%2002.jpg,,,,
Hattem,3,Hattem 3,270207,H.K. Hattem,17 juli 1906,W,201390.02,498734.18,Hattem%2003.jpg,,,,
Hattemerbroek,1,Oldebroek 6,219301,R.K.K. Hattemerbroek,1944,NW,199945.4,500760.87,Hattemerbroek%2001.jpg,,,,
